POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
285,Dinesh Karthik,13,8,162.5,0,1,LSG,DY Patil Stadium,19 April 2022
286,Dinesh Karthik,7,2,350,0,1,MI,Maharashtra Cricket Association Stadium,09 April 2022
287,Dinesh Karthik,44,23,191.3,7,1,RR,Wankhede Stadium,05 April 2022
288,Dinesh Karthik,14,7,200,1,1,KKR,DY Patil Stadium,30 March 2022
289,Dinesh Karthik,37,23,160.86,5,1,LSG,Eden Gardens,25 May 2022
290,Kuldeep Yadav,16,8,200,1,1,LSG,Wankhede Stadium,01 May 2022
291,Kuldeep Yadav,14,14,100,0,1,GT,Maharashtra Cricket Association Stadium,02 April 2022
292,Manish Pandey,11,10,110,1,1,SRH,DY Patil Stadium,04 April 2022
293,Manish Pandey,22,22,100,0,1,MI,Wankhede Stadium,24 April 2022
294,Krunal Pandya,19,14,135.71,0,1,DC,DY Patil Stadium,07 April 2022
295,Krunal Pandya,25,23,108.69,1,1,RR,Brabourne - CCI,15 May 2022
296,Rishabh Pant,39,33,118.18,4,1,MI,Wankhede Stadium,21 May 2022
297,Rishabh Pant,44,30,146.66,7,1,LSG,Wankhede Stadium,01 May 2022
298,Rishabh Pant,7,3,233.33,0,1,PBKS,DY Patil Stadium,16 May 2022
299,K L Rahul,68,50,136,6,1,SRH,DY Patil Stadium,04 April 2022
300,K L Rahul,10,19,52.63,0,1,RR,Brabourne - CCI,15 May 2022
301,K L Rahul,30,24,125,3,1,RCB,DY Patil Stadium,19 April 2022
302,K L Rahul,24,25,96,1,1,DC,DY Patil Stadium,07 April 2022
303,Washington Sundar,25,19,131.57,3,1,PBKS,Wankhede Stadium,22 May 2022
304,Umesh Yadav,15,15,100,1,1,GT,DY Patil Stadium,23 April 2022
305,Umesh Yadav,18,12,150,2,1,RCB,DY Patil Stadium,30 March 2022
306,Marcus Stoinis,17,16,106.25,1,1,DC,Wankhede Stadium,01 May 2022
307,Marcus Stoinis,24,15,160,2,1,RCB,DY Patil Stadium,19 April 2022
308,Marcus Stoinis,10,9,111.11,0,1,MI,Brabourne - CCI,16 April 2022
309,Marcus Stoinis,9,9,100,0,1,RCB,Eden Gardens,25 May 2022
310,Glenn Maxwell,35,22,159.09,3,1,PBKS,Brabourne - CCI,13 May 2022
311,Glenn Maxwell,9,10,90,0,1,LSG,Eden Gardens,25 May 2022
312,Glenn Maxwell,23,11,209.09,3,1,LSG,DY Patil Stadium,19 April 2022
313,Mitchell Marsh,25,20,125,3,1,CSK,DY Patil Stadium,08 May 2022
314,Ajinkya Rahane,44,34,129.41,6,1,CSK,Wankhede Stadium,26 March 2022
315,Ravichandran Ashwin,21,9,233.33,3,1,MI,DY Patil Stadium,30 April 2022
316,Ravichandran Ashwin,8,8,100,0,1,GT,DY Patil Stadium,14 April 2022
317,Ravindra Jadeja,26,28,92.85,0,1,KKR,Wankhede Stadium,26 March 2022
318,Ravindra Jadeja,23,15,153.33,2,1,SRH,DY Patil Stadium,09 April 2022
